user_id,avg_price,ever_discounted,purchase_count
"AECKRXKG6P4WDPQMPD3XPO5ZZ5QA,AF23F2BUJEUNAGZDIOQJKUYF6LAQ,AHRDRWRO47YAE3WV6X6SXN6DJZBA,AHJ57MLUC2YLYZQKU3CX6UL5PGJQ,AGCKYTS6NKAUMR36K3LGAKBK7HLQ,AGMB47WHJPH52A57TVE43RY5DIZA,AHYSFGBB7ME3WWWP6PX55YHNYFBA,AHS5UBL4UFHYRUJRMMJKY2CUTOLA",89.0,True,1
"AECMQ2RLIJLZPBV65R74ZXYWBHDA,AEDKV6ZUXIBYYQJBXOHXB3DZLYWQ,AEHWYKP6AINWLLGVCZXRT3GOBT6A,AF2LJJNMXJZHEEWT4GCNWPSLFPIA,AGJ3VD6VNEKCMGYVVAS3ZFSISKMA,AFVY6A2WBGEYOPAJNAZP6J44H5GA,AERWNTV3FQB42AN6DXOZ24NJGOBQ,AEVHDFJPXL5VW4EUXTOBVXCPZA2A",499.0,True,1
"AECNNZVKQPR25O2GJGFWLHBH367Q,AF56FEP276BYOI3GE7GYBD2GONQQ,AHN5GS7H5SE5ZCFJH4KQOWDUKARQ,AFDIF43EHQD67SR2HWPO3W6B7FDA,AFUVPBEMV5BKKLHXC35CUJ45FV6Q,AGWTCY3ED5Q52QJACMXUFJ32UUGA,AE2IJXBP54QRMOS6COSQSEWEJ6TA,AGGC7EXQIXQQET64Y4ZRMOZBK46Q",499.0,True,1
"AECPFYFQVRUWC3KGNLJIOREFP5LQ,AHHURVABUYFBH5VMO37ELU6VL4BA,AGINNSDVZYV5ZKNNIJO7GL2ODKJA,AHGTFXNFYDEBYKFIM5AGTVJHLQWQ,AETX622QBRE6A5D6JOV5JW3NDXUQ,AGJDDBKFP2QLF76TQ4G2LWTVVXLQ,AFYQCTYLY5N5ZAB2DBAKWUZNBF7Q,AFZQHGNNUAQ2MMHXAE3IUISW6OFQ",329.0,True,1
"AECQPIQJEIF5ASVCNW43FEDLAATQ,AEO2Q72MKWA5DPWBFQQ63ALQW7AQ,AEW2N6ZN62QQ5C5RXHU4TSK2EYRA,AGLPUYATOE2KVD36DZ2VD4QAOZCQ,AFC5T42J2P6CMZQUXB4IVBEZSAFA,AEAFK6ITOXRVS34MTPODTIE4UWLQ,AGNXO5MSN4KKBGSQR3YT26CYYBQA,AGKMK57A4J54JG5OUHPMVGGPVUKQ",263.0,True,1
"AECTTIBADJRR6PNCGQM3KLJT65XQ,AHH5S3NZXPTNEMV5ACI2OUFQPESQ,AGX67OWD4YQDA7GEIGCMB5DYUJZQ,AHVN4Q73CBYLXS6PD7JYBNQJOXSQ,AHDJXSEX24G3F2AMLX7H4VFW6Q4A,AEF46GENYIQSETB5QV7U3BFPRLWQ,AHU2YNBLYGUZR45OTIEIAG76NCTQ,AGFPDBO7Q4GQBCWMY3OPORD74ROA",215.0,True,1
"AECWBGFECHOEYECHQGPMWRYNKHYQ,AGIWNT5SLEHW7HVLBDY6H32XJ45Q,AECOFAMXWUJ62CI4VQJU5W7NVTZA,AHFBQWP65RDAIAOAYV35FWWX2G5Q,AHCM6KUAHF5H7Q67KH4KOCVDTVQA,AFABD2LOIXHYSDVJ7SQSDEH2MXLA,AEEIGWJVASSHYBL4QVIVIRRLJHKQ,AELPNPI6Q3WXYTFZ3FYVTQCHIV5A",96.0,True,1
"AED54H4JXQGZT6GANH6PJN4SNU7Q,AF652OHBGHAEER2HLOH45T6E65CQ,AFJLA3VGFKFSX3VC6UC4ZAYVR4DQ,AFGQN6RWDATMEVHEO5POPH6VYFRQ,AENYOOBQJZGYT4GNQRR3YEKI7KAQ,AHKZN2KHHR7CQWCGJDX26C5TBHXQ,AHMJ5EEDULQII3FGSNR7PSHQABVA,AEA4764BEJKLL5UEYQ75K6TRRD3A",179.0,True,1
"AEDMOT4JJAD7UCEFLEA76Y526CGQ,AHEXPGZ2QS4MXA5LDPULZPVLYBSA,AGZXI6YFQBL7Y6ZH4JOLRETHVDYQ,AEHFMY2XIP7P3MZV6KHQVLCFKWBQ,AGXW34DAO3AACVXOXNHT66PCBGQQ,AH2MVSVVA6YZM7U4DBKDG2XBZM5Q,AG5LI22SGAIXYZAJXUDGHUQXIKOA,AGQEYE3ZA7VXHMGDQLZM3VL7DNZQ",179.0,True,1
"AEEF4HG4M3I4C27OWPX5SSBESB6Q,AHNRF2HZSCFRQZBZLYECIAG4X7LA,AEBY7LSKMBHUL74SXGJDSRKKPGXA,AFZOAPDLJIFD3YE3HDLTHDSWUXNA,AGHKOJMPPR3ZWSYI7BCOFHNIDP4A,AEUXGDH7N7HYBKXCLX6ISS5XYIWA,AF2FJFSVMDNTOTK5VXW324KCENIQ,AG5S67BW7SOU7MZK7VGDTLCCCFWQ",190.0,True,1
